item,personality,personality_text
Believe laws should be strictly enforced.,2,openness_score
Believe in an eye for an eye.,1,extraversion_score
Rush into things.,0,agreeable_score
Am not easily disturbed by events.,0,agreeable_score
Avoid contacts with others.,0,agreeable_score
Do not have a good imagination.,0,agreeable_score
Suspect hidden motives in others.,0,agreeable_score
Don't understand things.,2,openness_score
Am not easily annoyed.,1,extraversion_score
Don't like crowded events.,0,agreeable_score
Do not enjoy going to art museums.,3,conscientiousness_score
Pretend to be concerned for others.,2,openness_score
Leave my belongings around.,3,conscientiousness_score
Seldom feel blue.,2,openness_score
Have little to say.,1,extraversion_score
Rarely notice my emotional reactions.,0,agreeable_score
Make people feel uncomfortable.,2,openness_score
Get others to do my duties.,2,openness_score
Am comfortable in unfamiliar situations.,0,agreeable_score
Like a leisurely lifestyle.,2,openness_score
Am a creature of habit.,0,agreeable_score
Insult people.,1,extraversion_score
Am not highly motivated to succeed.,2,openness_score
Am able to control my cravings.,2,openness_score
Seek danger.,0,agreeable_score
Have difficulty understanding abstract ideas.,2,openness_score
Know the answers to many questions.,3,conscientiousness_score
Need a push to get started.,3,conscientiousness_score
Know how to cope.,4,neuroticism_score
Amuse my friends.,4,neuroticism_score
Believe that we coddle criminals too much.,2,openness_score
Do crazy things.,1,extraversion_score
Don't worry about things that have already happened.,2,openness_score
Am not really interested in others.,0,agreeable_score
Seldom get lost in thought.,2,openness_score
Am wary of others.,0,agreeable_score
Have little to contribute.,3,conscientiousness_score
Keep my cool.,3,conscientiousness_score
Avoid crowds.,3,conscientiousness_score
Do not like concerts.,0,agreeable_score
Take advantage of others.,0,agreeable_score
Am not bothered by messy people.,3,conscientiousness_score
Feel comfortable with myself.,3,conscientiousness_score
Don't like to draw attention to myself.,3,conscientiousness_score
Turn my back on others.,0,agreeable_score
Do the opposite of what is asked.,3,conscientiousness_score
Am not bothered by difficult social situations.,4,neuroticism_score
Let things proceed at their own pace.,0,agreeable_score
Dislike new foods.,4,neuroticism_score
Get back at others.,2,openness_score
Do just enough work to get by.,0,agreeable_score
Never spend more than I can afford.,0,agreeable_score
Would never go hang gliding or bungee jumping.,2,openness_score
Am not interested in theoretical discussions.,3,conscientiousness_score
Have difficulty starting tasks.,3,conscientiousness_score
Readily overcome setbacks.,1,extraversion_score
Am not easily amused.,2,openness_score
Believe that we should be tough on crime.,1,extraversion_score
Act without thinking.,2,openness_score
Adapt easily to new situations.,2,openness_score
Keep others at a distance.,3,conscientiousness_score
Have difficulty imagining things.,4,neuroticism_score
Believe that people are essentially evil.,4,neuroticism_score
Rarely complain.,0,agreeable_score
Seek quiet.,1,extraversion_score
Do not enjoy watching dance performances.,3,conscientiousness_score
Obstruct others' plans.,3,conscientiousness_score
Am not bothered by disorder.,2,openness_score
Am very pleased with myself.,3,conscientiousness_score
Hold back my opinions.,0,agreeable_score
Don't understand people who get emotional.,4,neuroticism_score
Take no time for others.,0,agreeable_score
Misrepresent the facts.,2,openness_score
Am able to stand up for myself.,3,conscientiousness_score
React slowly.,2,openness_score
Am attached to conventional ways.,1,extraversion_score
Hold a grudge.,4,neuroticism_score
Put little time and effort into my work.,0,agreeable_score
Never splurge.,0,agreeable_score
Dislike loud music.,0,agreeable_score
Avoid difficult reading material.,4,neuroticism_score
Make myself the center of attention.,2,openness_score
Postpone decisions.,2,openness_score
Am calm even in tense situations.,4,neuroticism_score
Seldom joke around.,0,agreeable_score
Can't stand weak people.,4,neuroticism_score
Often make last-minute plans.,1,extraversion_score
