text,isPos
philosophy im not weird im a limited edition unique rare and lets face it a little expensive,1
romantic wisdom love is like a fart if you have to force it its probably crap,1
confession sometimes i prefer my own company its quieter inside my bubble,1
real talk some days i amaze myself other days i look for my phone while im talking on it,1
observation they say dont try this at home so im coming over to your house to try it,1
life tip if you fall ill be there floor,1
daily query if were not supposed to eat at night why is there a light in the fridge,1
health goal i need a sixmonth holiday twice a year,1
personal mantra im not arguing im just explaining why im right,1
relationship status cuddle level expert must have references,1
selfesteem boost i walk around like everything is fine but deep down inside my shoe my sock is sliding off,1
current mood wanting to be invited but not wanting to go,1
pro tip never trust someone who doesnt laugh their souls are suspect,1
daily paradox im busy doing things i dont need to do to avoid doing anything i should be doing,1
personal revelation i never make the same mistake twice i make it five or six times just to be sure,1
selfawareness level im not always sarcastic sometimes im sleeping,1
social life status my bed is a magical place where i suddenly remember everything i forgot to do,1
financial plan why make billions when we can make thousands,1
parenting because i said so is the reason for everything when youre a mom or dad,1
personal motto im not a control freak i just know what you should be doing,1
life strategy if at first you dont succeed then skydiving definitely isnt for you,1
real talk if youre going to be a smartass first you have to be smart otherwise youre just an ass,1
current status im not really a control freak but can i show you the right way to do that,1
life truth when your mum is mad at your dad dont let her brush your hair,1
selfimprovement plan im on a seafood diet i see food and i eat it,1
relationship philosophy marry someone who has a different favorite cereal than you so they wont eat all of yours,1
personal rule i dont hold grudges i remember facts,1
travel tip jet lag is for amateurs,1
fitness philosophy i dont believe in personal trainers i believe in personal pizzas,1
daily dilemma i have so much to do that im going to bed,1
personal insight i dont have grey hair i have wisdom highlights,1
social observation why fall in love when you can fall asleep,1
life hack stressed spelled backwards is desserts coincidence i think not,1
personal mantra im not arguing im just explaining why im right,1
artistic view why be moody when you can shake your booty,1
food for thought if were not meant to have midnight snacks why is there a light in the fridge,1
parenting perspective cleaning your house with kids around is like brushing your teeth with oreos,1
confession i may look calm but in my mind ive pecked you times,1
fitness revelation i consider onhold music my cardio for the day,1
romantic realization love is like a fart if you have to force it its probably crap,1
life strategy if at first you dont succeed then skydiving definitely isnt for you,1
truth bomb if im silent its because theres thunder inside me or im just chillin it depends may the odds be ever in your favor,1
selfawareness im not always sarcastic sometimes im asleep,1
life paradox im busy doing things i dont need to do to avoid doing anything i should be doing,1
career wisdom im not bossy i have leadership skills,1
love wisdom relationships are like algebra you always look at your x and wonder y,1
philosophy im not weird im a limited edition,1
observation they say dont try this at home so im coming over to your house to try it,1
financial wisdom why make billions when we can make thousands,1
personal revelation i never make the same mistake twice i make it five or six times just to be sure,1
social life status my bed is a magical place where i suddenly remember everything i forgot to do,1
parenting because i said so is the reason for everything when youre a mom or dad,1
life strategy if at first you dont succeed then skydiving definitely isnt for you,1
real talk if youre going to be a smartass first you have to be smart otherwise youre just an ass,1
current status im not really a control freak but can i show you the right way to do that,1
life truth when your mum is mad at your dad dont let her brush your hair,1
selfimprovement plan im on a seafood diet i see food and i eat it,1
relationship philosophy marry someone who has a different favorite cereal than you so they wont eat all of yours,1
personal rule i dont hold grudges i remember facts,1
travel tip jet lag is for amateurs,1
fitness philosophy i dont believe in personal trainers i believe in personal pizzas,1
daily dilemma i have so much to do that im going to bed,1
personal insight i dont have grey hair i have wisdom highlights,1
social observation why fall in love when you can fall asleep,1
life hack stressed spelled backwards is desserts coincidence i think not,1
personal mantra im not arguing im just explaining why im right,1
artistic view why be moody when you can shake your booty,1
food for thought if were not meant to have midnight snacks why is there a light in the fridge,1
parenting perspective cleaning your house with kids around is like brushing your teeth with oreos,1
confession i may look calm but in my mind ive pecked you times,1
fitness revelation i consider onhold music my cardio for the day,1
romantic realization love is like a fart if you have to force it its probably crap,1
truth bomb if im silent its because theres thunder inside me or im just chillin it depends may the odds be ever in your favor,1
selfawareness im not always sarcastic sometimes im asleep,1
life paradox im busy doing things i dont need to do to avoid doing anything i should be doing,1
career wisdom im not bossy i have leadership skills,1
love wisdom relationships are like algebra you always look at your x and wonder y,1
philosophy im not weird im a limited edition,1
observation they say dont try this at home so im coming over to your house to try it,1
financial wisdom why make billions when we can make thousands,1
personal revelation i never make the same mistake twice i make it five or six times just to be sure,1
social life status my bed is a magical place where i suddenly remember everything i forgot to do,1
parenting because i said so is the reason for everything when youre a mom or dad,1
life strategy if at first you dont succeed then skydiving definitely isnt for you,1
real talk if youre going to be a smartass first you have to be smart otherwise youre just an ass,1
current status im not really a control freak but can i show you the right way to do that,1
life truth when your mum is mad at your dad dont let her brush your hair,1
selfimprovement plan im on a seafood diet i see food and i eat it,1
relationship philosophy marry someone who has a different favorite cereal than you so they wont eat all of yours,1
personal rule i dont hold grudges i remember facts,1
travel tip jet lag is for amateurs,1
fitness philosophy i dont believe in personal trainers i believe in personal pizzas,1
daily dilemma i have so much to do that im going to bed,1
personal insight i dont have grey hair i have wisdom highlights,1
social observation why fall in love when you can fall asleep,1
life hack stressed spelled backwards is desserts coincidence i think not,1
personal mantra im not arguing im just explaining why im right,1
artistic view why be moody when you can shake your booty,1
food for thought if were not meant to have midnight snacks why is there a light in the fridge,1
parenting perspective cleaning your house with kids around is like brushing your teeth with oreos,1
confession i may look calm but in my mind ive pecked you times,1
fitness revelation i consider onhold music my cardio for the day,1
romantic realization love is like a fart if you have to force it its probably crap,1
truth bomb if im silent its because theres thunder inside me or im just chillin it depends may the odds be ever in your favor,1
selfawareness im not always sarcastic sometimes im asleep,1
life paradox im busy doing things i dont need to do to avoid doing anything i should be doing,1
career wisdom im not bossy i have leadership skills,1
love wisdom relationships are like algebra you always look at your x and wonder y,1
philosophy im not weird im a limited edition,1
observation they say dont try this at home so im coming over to your house to try it,1
financial wisdom why make billions when we can make thousands,1
personal revelation i never make the same mistake twice i make it five or six times just to be sure,1
social life status my bed is a magical place where i suddenly remember everything i forgot to do,1
parenting because i said so is the reason for everything when youre a mom or dad,1
life strategy if at first you dont succeed then skydiving definitely isnt for you,1
real talk if youre going to be a smartass first you have to be smart otherwise youre just an ass,1
current status im not really a control freak but can i show you the right way to do that,1
life truth when your mum is mad at your dad dont let her brush your hair,1
selfimprovement plan im on a seafood diet i see food and i eat it,1
relationship philosophy marry someone who has a different favorite cereal than you so they wont eat all of yours,1
just bingewatched the entire series overnight who needs sleep anyway teamnosleep,1
is it just me or does choosing a filter take longer than writing a midterm essay,1
deleted social media for a day it was tough but i think i reached enlightenment,1
remember the time when brb meant be right back and not i am ignoring you forever,1
ca not decide if i need a hug cups of coffee or months of vacation,1
why do job applications require years of experience for an entrylevel position i am not a time traveler,1
i swear my room has two states neat for instagram and looks like a tornado hit there is no inbetween,1
my grocery shopping is food and snacks balance is key right,1
ordered a pizza and ate it all fitness goals being able to eat more pizza,1
is adulthood just clicking forgot password over and over until you die,1
studying online sounded cool until i realized it is just me alone with my snacks and distractions,1
why is adulting not a subject in school i need a refund on my education,1
i speak fluent sarcasm meme and song lyrics multilingual right,1
every group project has that one person who is basically a ghost spoiler it is me,1
life hack you cannot fail if you do not try right,1
who knew being in your s is just texting friends we should hang out soon over and over until one of you dies,1
obsessed with canceling plans that i never wanted to be a part of ultimate bliss,1
is my life a joke to you wait do not answer that,1
i have moods skip every song on my playlist let the music play without interruption and play the same song on repeat,1
permanent mood sorry i am late i did not want to come,1
just learned how to cook ramen different ways so i am basically a chef now masterchef,1
i have problems and my phone battery is all of them,1
skincare routine steps preparing for my future still figuring out step,1
can we have a moment of silence for all the outfits i bought for and never wore,1
my diet is a mysterious cycle of superfoods and junk food no inbetween,1
life update googled how to win an argument with your cat so yeah,1
i have reached the adding things i have already done to my todo list just to cross them off level of productivity,1
starting a petition to count istaying in bed all day as a personality trait who is in,1
today is mood i did not wake up to be mediocre also me watches hours of netflix,1
sending ok with the period is the text version of a slap change my mind,1
that mini heart attack when you cannot feel these in your pocket,1
i think iselective listener is a nicer way to put i ignore most of what you say,1
throwback to when i was and thought turning meant i would have my life together,1
i either respond to texts in seconds or i forget for days there is no inbetween,1
if procrastination is an art i belong in the louvre,1
can we skip to the part of my life where i travel the world,1
is it really a sunday if you are not questioning all your life choices,1
trying to explain your favorite show to someone who is never watched it is a special kind of torture,1
does anyone else have a shopping cart filled with online orders you are too broke to buy,1
of my life is spent worrying about the of things i cannot control,1
am i the only one who plans my outfits around the level of effort i feel like putting into my day,1
just once i want someone to look at me the way i look at the skip intro button,1
my seen at am might mean i am a night owl or maybe i just dropped my phone on my face again,1
being an adult is just whispering what the to yourself all day because you do not know what is happening,1
is it bad that my dog is instagram is doing better than my own,1
life hack ca not be late if you do not show up,1
remember when you felt too young to do things and now you are too old when was the perfect age window like a week,1
every machine is a smoke machine if you operate it wrong enough,1
does perpetually craving tacos count as a mood,1
eat healthier they said it will be easy they said meanwhile i am emotionally attached to fries,1
the floor is lava is a fun game and all but have you ever tried the floor is my clothes,1
plot twist i do not need a knight in shining armor i need wifi that does not lag,1
if i got a dollar for every time my grandparents asked me to fix their computer i could retire,1
why study for exams when you can stresseat and spiral into existential dread,1
is exhausted pigeon an accurate way to describe my aesthetic,1
my life is an open book but it is mostly just emails from brands i bought from once in,1
too poor to go out too anxious to invite people over it is a party in my comfort zone,1
i live by the motto treat yourself except it is every day and causing problems,1
big plans this weekend by big plans i mean choosing a new series to bingewatch suggestions,1
if you are not supposed to eat at night why is there a light in the fridge,1
got my hours of anxiety last night how about you,1
if i could get paid to make random spotify playlists i would be a billionaire,1
i am at that aread everything but understand nothing stage of studying send help,1
asked my mom why she never told me life was this hard she said she did i just was not listening classic,1
is it a date or are we just hanging out the anxiety of modern romance,1
lost my phone and found it in the fridge it is been a long day,1
who else has a for later reading list that is longer than their read list,1
i am not saying i hate mornings but i would definitely hit snooze on the sun if i could,1
adulthood is just saying but after this week things will slow down a bit to yourself until you die,1
i am not addicted to my phone we are just in a very committed relationship,1
i aspire to reach the level of calm of people who use regards as their email signoff,1
being asked where do you see yourself in years is my favorite joke now,1
i am not great at the advice can i interest you in a sarcastic comment,1
i am an adult but more like an adult cat someone should probably take care of me but i can also sort of make it on my own,1
if my life was a movie it would be rated what the heck is even happening,1
pro tip keep a diary so when you are famous you can publish and make bank,1
you know you are growing up when you start rooting for the parents in disney movies,1
let is hang out soon translation see you in to business years,1
